hifts_id,cfms_id,layer,definition
C02,B12,content,能选取具体充分的材料
C04,B14,content,能围绕文章的中心选择和组织材料
C05,B15,content,能写出有独特性原创性、思想较深刻的作文
C06,B16,content,能多角度思考主题并选用合适材料表现
S02,B22,structure,能够交代清楚前后内容
S03,B23,structure,能够用过渡词句粘合相邻段落
S06,B26,structure,各段落和主旨紧密相连
S07,B27,structure,各句话和段落中心句紧密相连
S08,B28,structure,段与段之间关系紧密
S09,B291,structure,能够详写文章重点部分
S10,B292,structure,能够略写过渡性材料
S11,B201,structure,能写出恰当的开头
S12,B202,structure,能提供简洁利落的结尾
E01,B31,expression,语句通顺、意思完整
E02,B32,expression,词句恰当、生动、优美
E05,B34,expression,能综合使用多种修辞手法
E06,B35,expression,能综合使用多种表达方式
E07,B36,expression,能使用多种表现手法
E11,B301,expression,关注人物和事件细节
E12,B302,expression,能有主次、有顺序地观察
